County,Candidate,Party
ARAD,EPURE CLAUDIU-SABIN,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,CHIOREANU CRISTINA-RAMONA,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,LUDAE IOAN-TRAIAN,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,SZÖLLÖSI ALISA-MIRUNA,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,GROZA IONEL,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,ȘERBAN MIREL-SORIN,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,SZÖLLÖSI CHRIS-XANDER,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,GROZA IONUȚ-SEBASTIAN,PARTIDUL REPUBLICAN DIN ROMÂNIA
ARAD,VIDICAN PETRU-DAN,PARTIDUL REPUBLICAN DIN ROMÂNIA

ARAD,CRISTINA IOAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,IOVA LAURA-CRISTINA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,KONDRAD PAUL,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,MARIȘ MELANIA-IOANA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,IOVA CĂTĂLIN-GEORGE,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,ARDELEAN-STANCIU ALEXANDRU-LUCIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,ANGHELIN ALEXANDRU,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,MUREȘAN BOGDANA-IOANA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,BARBOS PUIU-ALEXANDRU,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ARAD,FIFOR MIHAI-VIOREL,PARTIDUL SOCIAL DEMOCRAT
ARAD,HAȚEGAN OVIDIU-ALIN,PARTIDUL SOCIAL DEMOCRAT
ARAD,MOMEU ROXANA-SIMONA,PARTIDUL SOCIAL DEMOCRAT
ARAD,MOȚ PETRU,PARTIDUL SOCIAL DEMOCRAT
ARAD,CIOARĂ DARIUS-LUCIAN,PARTIDUL SOCIAL DEMOCRAT
ARAD,MATIASCIUC GINA-ADRIANA,PARTIDUL SOCIAL DEMOCRAT
ARAD,ANTOCHE ADRIAN-CRISTIAN,PARTIDUL SOCIAL DEMOCRAT
ARAD,LÁSZLÓ MELINDA-ELENA,PARTIDUL SOCIAL DEMOCRAT
ARAD,PELE MIRCEA,PARTIDUL SOCIAL DEMOCRAT
ARAD,BLAJ MARIA-DORINA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,DUȘE BOGDAN-MIHAI,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,ANDRAȘ FLORICA-DANIELA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ARAD,ILIEȘ IOAN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
